order_id,order_date,product_name,product_price,quantity,product_category,manufacturer,payment_method,discount_applied,customer_name,customer_gender,customer_city,review_score
36727308,2024-01-03,Samsung Galaxy Tab A8,229.99,1,TABLETS,Samsung,apple_pay,No,Jessica Lopez,FEMALE,Leeds,3
84218278,2024-01-03,Brother MFC-J4335DW,179.0,1,PRINTERS,Brother,card,No,Jennifer Rodriguez,FEMALE,Cardiff,4
20516680,2024-01-04,Canon PIXMA TR8620a,199.99,1,PRINTERS,Canon,qiwi,No,Mr. Jeffrey Fowler DDS,MALE,London,5
50498956,2024-01-05,Canon PIXMA TR8620a,199.99,1,PRINTERS,Canon,paypal,No,Meghan Snyder,FEMALE,Birmingham,5
96291375,2024-01-06,Lexmark MB3442adw,379.0,1,PRINTERS,Lexmark,cash,No,Jessica Pennington,FEMALE,London,5
23565906,2024-01-06,"Apple iMac 24""",1299.0,1,COMPUTERS,Apple,card,No,Kimberly Jones,FEMALE,London,2
98962242,2024-01-07,Epson EcoTank ET-2850,299.0,1,PRINTERS,Epson,qiwi,No,Michael Hickman,MALE,Cardiff,3
63907650,2024-01-08,Asus ROG Flow Z13,1699.99,1,TABLETS,Asus,paypal,No,Barbara Carrillo,FEMALE,London,4
45649707,2024-01-08,Dell XPS 13,1299.99,1,COMPUTERS,Dell,paypal,No,John Cordova,MALE,Sheffield,4
40907758,2024-01-08,OnePlus 12,799.99,1,PHONES,OnePlus,google_pay,No,James Gomez,MALE,London,4
26901848,2024-01-08,Kyocera ECOSYS P2235dw,177.11,1,PRINTERS,Kyocera,paypal,Yes,Robert Wallace,MALE,Kingston upon Hull,3
57120096,2024-01-09,Canon PIXMA TR8620a,199.99,1,PRINTERS,Canon,paypal,No,Nicholas Davis,MALE,Leeds,4
75428341,2024-01-10,HP LaserJet Pro M404dn,229.99,1,PRINTERS,HP,paypal,No,Justin Lopez,MALE,London,3
59333449,2024-01-10,Xiaomi Pad 6,399.99,1,TABLETS,Xiaomi,qiwi,No,Caroline Sparks,FEMALE,London,4
42080930,2024-01-10,Nothing Phone (2),599.0,1,PHONES,Nothing,qiwi,No,Daniel Strickland,MALE,London,3
18401103,2024-01-11,Nothing Phone (2),599.0,1,PHONES,Nothing,card,No,Brittany Hughes,FEMALE,London,4
30361485,2024-01-12,Epson WorkForce WF-2930,149.0,3,PRINTERS,Epson,google_pay,No,Lisa Moyer,FEMALE,London,3
76317064,2024-01-12,"Apple MacBook Pro 14""",1999.99,1,COMPUTERS,Apple,cash,No,Heather Martinez,FEMALE,London,5
08018373,2024-01-13,Samsung Galaxy Buds2 Pro,229.99,1,HEADPHONES,Samsung,google_pay,No,Curtis Armstrong,MALE,Leeds,4
97298069,2024-01-14,Xiaomi 14 Pro,699.0,1,PHONES,Xiaomi,apple_pay,No,Elizabeth Brown,FEMALE,London,4
80460558,2024-01-15,MSI Katana GF66,800.99,2,COMPUTERS,MSI,card,Yes,Michael Abbott,MALE,London,3
11004578,2024-01-16,Samsung Galaxy Buds2 Pro,229.99,1,HEADPHONES,Samsung,paypal,No,Laura Watson,FEMALE,Birmingham,3
04235682,2024-01-18,Beats Studio Pro,349.0,1,HEADPHONES,Beats,qiwi,No,Mrs. Gina Lara,FEMALE,Birmingham,3
87285369,2024-01-18,Canon imageCLASS MF264dw,189.99,1,PRINTERS,Canon,paypal,No,Jennifer Dixon,FEMALE,London,4
22192370,2024-01-19,Google Pixel 8 Pro,889.11,1,PHONES,Google,google_pay,Yes,Lisa Phillips,FEMALE,Sheffield,4
58235973,2024-01-19,Bose QuietComfort 45,329.99,1,HEADPHONES,Bose,qiwi,No,Joshua Owen,MALE,London,4
23305175,2024-01-21,Microsoft Surface Laptop 5,1099.99,1,COMPUTERS,Microsoft,qiwi,No,Nathan Evans,MALE,Sheffield,4
08982643,2024-01-22,Acer Swift 3,699.0,1,COMPUTERS,Acer,google_pay,No,Michael Decker MD,MALE,London,4
87169898,2024-01-22,Brother HL-L2350DW,149.99,1,PRINTERS,Brother,card,No,Hannah Perez,FEMALE,London,3
64943831,2024-01-22,Lenovo Tab P12 Pro,699.0,1,TABLETS,Lenovo,google_pay,No,Kyle Jones,MALE,Kingston upon Hull,5
30388369,2024-01-24,Samsung Galaxy Tab A8,229.99,1,TABLETS,Samsung,card,No,Linda Sampson,FEMALE,London,4
48196154,2024-01-25,Sony Xperia 1 V,1099.0,1,PHONES,Sony,card,No,Tammy Bishop,FEMALE,Sheffield,4
65993316,2024-01-26,OnePlus 12,799.99,1,PHONES,OnePlus,apple_pay,No,Lauren Conway,FEMALE,Plymouth,5
40873596,2024-01-26,Apple iPhone SE (2022),429.0,1,PHONES,Apple,apple_pay,No,Matthew Jackson,MALE,Edinburgh,4
40851525,2024-01-27,Samsung Galaxy S24 Ultra,1199.99,1,PHONES,Samsung,paypal,No,Allen Stephens II,MALE,Leeds,4
01172737,2024-01-27,Google Pixel 8 Pro,999.0,3,PHONES,Google,qiwi,No,Courtney Turner,FEMALE,Birmingham,4
68946456,2024-01-27,MSI Katana GF66,899.99,1,COMPUTERS,MSI,card,No,Heather Goodman,FEMALE,London,4
48475136,2024-01-28,HP LaserJet Pro M404dn,229.99,1,PRINTERS,HP,google_pay,No,Stephen Miller,MALE,Birmingham,3
48209816,2024-01-28,MSI Katana GF66,899.99,1,COMPUTERS,MSI,paypal,No,Mackenzie Stephenson,FEMALE,Birmingham,4
70248005,2024-01-28,Epson WorkForce WF-2930,149.0,1,PRINTERS,Epson,paypal,No,Micheal Molina,MALE,London,4
85490741,2024-01-29,Xiaomi 14 Pro,699.0,1,PHONES,Xiaomi,qiwi,No,Nicole Villanueva,FEMALE,Edinburgh,3
22754639,2024-01-30,Microsoft Surface Pro 9,999.99,1,TABLETS,Microsoft,cash,No,Colleen Dixon,FEMALE,London,4
56195927,2024-01-30,Lexmark MB3442adw,379.0,1,PRINTERS,Lexmark,google_pay,No,Kyle Pham,MALE,Leeds,4
18287516,2024-01-30,HP OfficeJet Pro 9015e,229.0,1,PRINTERS,HP,qiwi,No,Amy Gray,FEMALE,Leeds,5
62642194,2024-02-01,Epson EcoTank ET-2850,299.0,1,PRINTERS,Epson,card,No,Stephanie Rivera,FEMALE,London,5
23603875,2024-02-01,Epson EcoTank ET-2850,266.11,1,PRINTERS,Epson,google_pay,Yes,Maria Allen,FEMALE,Sheffield,5
27889886,2024-02-01,Samsung Galaxy S24 Ultra,1199.99,1,PHONES,Samsung,google_pay,No,Tyler Hill,MALE,Birmingham,3
61307247,2024-02-01,Xiaomi 14 Pro,622.11,1,PHONES,Xiaomi,google_pay,Yes,Michael Hughes MD,MALE,Birmingham,4
66015048,2024-02-01,Apple iPad Air,533.11,1,TABLETS,Apple,card,Yes,Christina Ramirez,FEMALE,London,3
82447571,2024-02-01,Shure AONIC 50,299.0,1,HEADPHONES,Shure,card,No,Beverly Smith,FEMALE,Birmingham,4
