order_id,order_date,product_name,product_price,quantity,product_category,manufacturer,payment_method,discount_applied,customer_name,customer_gender,customer_city,customer_age,review_score
35147350,2024-01-02,Samsung Galaxy Tab A8,229.99,1,TABLETS,Samsung,apple_pay,No,Matthew Cruz,MALE,Manchester,28,2
11463467,2024-01-03,Canon PIXMA TR8620a,199.99,2,PRINTERS,Canon,card,No,Deborah Carlson,FEMALE,Nottingham,38,4
39940490,2024-01-04,Samsung Galaxy S24 Ultra,1199.99,1,PHONES,Samsung,google_pay,No,Jasmine Long,FEMALE,Leicester,46,4
47515086,2024-01-04,Huawei MatePad Pro,649.0,1,TABLETS,Huawei,google_pay,No,Scott Kim,MALE,Bristol,43,5
65148808,2024-01-05,Asus ROG Flow Z13,1699.99,3,TABLETS,Asus,card,No,Steven Ford,MALE,Manchester,38,5
82819576,2024-01-05,Asus ROG Flow Z13,1699.99,1,TABLETS,Asus,card,No,Michael George,MALE,Cardiff,40,5
58407530,2024-01-05,Kyocera ECOSYS P2235dw,199.0,1,PRINTERS,Kyocera,cash,No,Holly Baxter,FEMALE,Edinburgh,37,3
24943895,2024-01-06,Dell XPS 13,1299.99,1,COMPUTERS,Dell,card,No,James Ferguson,MALE,Edinburgh,26,5
04359173,2024-01-07,Google Pixel 8 Pro,999.0,1,PHONES,Google,card,No,Kaitlyn Garcia,FEMALE,Bristol,25,5
77054586,2024-01-07,Sony Xperia 1 V,1099.0,1,PHONES,Sony,google_pay,No,Mary Nichols,FEMALE,Edinburgh,36,3
63812572,2024-01-07,Xiaomi 14 Pro,699.0,1,PHONES,Xiaomi,apple_pay,No,Christopher Pierce,MALE,Manchester,37,5
97161660,2024-01-07,Anker Soundcore Life Q35,129.99,2,HEADPHONES,Anker,paypal,No,Cynthia Nguyen,FEMALE,Glasgow,23,4
45866272,2024-01-08,Xiaomi 14 Pro,699.0,1,PHONES,Xiaomi,qiwi,No,Abigail Cooper,FEMALE,Leicester,19,4
17476614,2024-01-08,Lenovo Tab P12 Pro,699.0,2,TABLETS,Lenovo,apple_pay,No,Gina Burke,FEMALE,Nottingham,48,5
63051315,2024-01-08,MSI Katana GF66,899.99,1,COMPUTERS,MSI,qiwi,No,Bobby Campbell,MALE,Manchester,18,4
85704909,2024-01-11,Sony Xperia 1 V,1099.0,1,PHONES,Sony,paypal,No,Cody Johnson,MALE,Bristol,22,3
49973693,2024-01-11,Samsung Galaxy Tab A8,229.99,1,TABLETS,Samsung,paypal,No,Sara Stout,FEMALE,Manchester,22,3
03350287,2024-01-11,Samsung Galaxy Tab S9,899.99,1,TABLETS,Samsung,card,No,Kelly Lloyd,MALE,Cardiff,25,4
49838701,2024-01-12,Nothing Phone (2),533.11,1,PHONES,Nothing,google_pay,Yes,Daniel Sullivan,MALE,Sheffield,22,5
36244614,2024-01-14,Beats Studio Pro,310.61,1,HEADPHONES,Beats,card,Yes,Mario Serrano,MALE,Manchester,28,5
74046454,2024-01-16,Kyocera ECOSYS P2235dw,199.0,1,PRINTERS,Kyocera,google_pay,No,Luis Pierce,MALE,Manchester,18,4
43432141,2024-01-16,Asus ROG Flow Z13,1699.99,1,TABLETS,Asus,card,No,Eric Smith,MALE,Bristol,33,3
06605957,2024-01-18,Samsung Galaxy Tab S9,800.99,1,TABLETS,Samsung,google_pay,Yes,Jessica Hart,FEMALE,Plymouth,37,4
96463062,2024-01-18,Asus ROG Flow Z13,1699.99,1,TABLETS,Asus,card,No,Jamie Stout,MALE,Glasgow,40,5
76932984,2024-01-18,Jabra Elite 7 Pro,199.0,1,HEADPHONES,Jabra,paypal,No,Wendy Kirk,FEMALE,Cardiff,50,5
99387679,2024-01-21,Amazon Fire HD 10,149.99,1,TABLETS,Amazon,google_pay,No,Gilbert Banks,MALE,Glasgow,18,4
52344763,2024-01-21,Apple iPad Air,599.0,1,TABLETS,Apple,card,No,Evan Thompson,MALE,Bristol,23,5
12302345,2024-01-22,Asus ROG Flow Z13,1699.99,1,TABLETS,Asus,google_pay,No,Dr. Mary Rhodes,FEMALE,Bristol,33,3
71808000,2024-01-22,Dell XPS 13,1299.99,1,COMPUTERS,Dell,card,No,Cheryl Johnson,FEMALE,Edinburgh,50,5
53702142,2024-01-23,Kyocera ECOSYS P2235dw,199.0,1,PRINTERS,Kyocera,google_pay,No,Leonard Figueroa,MALE,Glasgow,22,5
49795615,2024-01-26,Samsung Galaxy Tab S9,899.99,1,TABLETS,Samsung,google_pay,No,Charles Collins,MALE,Nottingham,25,5
