order_id,order_date,product_name,product_price,quantity,product_category,manufacturer,payment_method,discount_applied,customer_name,customer_gender,customer_city,customer_age,review_score
53842848,2024-01-02,Lenovo Tab P12 Pro,699.0,1,TABLETS,Lenovo,card,No,Emily Jacobson,FEMALE,London,25,3
50243549,2024-01-03,Logitech G Pro X Wireless,229.0,1,HEADPHONES,Logitech,qiwi,No,Corey Hill,MALE,London,35,4
97147633,2024-01-03,Samsung Galaxy Tab S9,899.99,1,TABLETS,Samsung,google_pay,No,Susan Hull,FEMALE,Bristol,46,4
20066086,2024-01-03,Samsung Galaxy S24 Ultra,1199.99,1,PHONES,Samsung,card,No,Amanda Brown,FEMALE,London,21,3
03504123,2024-01-04,Acer Swift 3,699.0,1,COMPUTERS,Acer,google_pay,No,Shannon Garza,FEMALE,London,24,5
62260763,2024-01-04,Lenovo Tab P12 Pro,699.0,1,TABLETS,Lenovo,card,No,Mary Marshall,FEMALE,London,49,5
28259169,2024-01-04,Xiaomi Pad 6,399.99,1,TABLETS,Xiaomi,paypal,No,Chelsea House,FEMALE,Bristol,44,4
61792616,2024-01-04,"Apple MacBook Pro 14""",1999.99,1,COMPUTERS,Apple,paypal,No,Dawn Simon,FEMALE,London,46,4
05620296,2024-01-05,Samsung Galaxy Tab S9,899.99,1,TABLETS,Samsung,google_pay,No,Anna Cook,FEMALE,Liverpool,34,4
87464221,2024-01-06,Anker Soundcore Life Q35,129.99,1,HEADPHONES,Anker,cash,No,Christine Martinez,FEMALE,Bristol,69,4
21681080,2024-01-07,Samsung Galaxy Tab A8,216.19,1,TABLETS,Samsung,apple_pay,Yes,Amanda Howard,FEMALE,London,30,4
49491319,2024-01-08,Kyocera ECOSYS P2235dw,199.0,1,PRINTERS,Kyocera,google_pay,No,Michael Turner,MALE,Sheffield,43,5
65709924,2024-01-08,Jabra Elite 7 Pro,199.0,1,HEADPHONES,Jabra,qiwi,No,Dr. Janice Lewis DDS,FEMALE,Stoke-on-Trent,41,5
15371300,2024-01-08,Google Pixel 8 Pro,939.06,1,PHONES,Google,paypal,Yes,Danielle Haynes,FEMALE,London,31,5
72957356,2024-01-09,Lenovo Tab P12 Pro,657.06,1,TABLETS,Lenovo,card,Yes,Sheila Williams,FEMALE,London,18,4
72681282,2024-01-10,Jabra Elite 7 Pro,199.0,1,HEADPHONES,Jabra,paypal,No,Jeanette Sims,FEMALE,London,32,4
40061931,2024-01-10,MSI Katana GF66,899.99,1,COMPUTERS,MSI,card,No,Jonathan Smith,MALE,London,41,3
22205308,2024-01-10,Motorola Edge 40 Pro,699.99,1,PHONES,Motorola,apple_pay,No,Judy Schmidt,FEMALE,London,48,4
60682727,2024-01-12,Sony Xperia 1 V,1099.0,1,PHONES,Sony,paypal,No,Brittany Williams,FEMALE,London,31,4
54024021,2024-01-14,OnePlus 12,799.99,2,PHONES,OnePlus,card,No,Joshua Shepherd,MALE,Sheffield,34,4
09839557,2024-01-14,Amazon Fire HD 10,149.99,1,TABLETS,Amazon,google_pay,No,Taylor Fisher,MALE,London,54,3
69006036,2024-01-14,HP OfficeJet Pro 9015e,229.0,1,PRINTERS,HP,apple_pay,No,George Mcneil,MALE,London,20,5
53147691,2024-01-14,Microsoft Surface Laptop 5,1099.99,1,COMPUTERS,Microsoft,apple_pay,No,Carly Gomez,FEMALE,London,28,4
72447475,2024-01-14,Motorola Edge 40 Pro,699.99,1,PHONES,Motorola,apple_pay,No,Sarah Jones,FEMALE,London,20,4
76034237,2024-01-15,Microsoft Surface Pro 9,999.99,1,TABLETS,Microsoft,qiwi,No,James Graham,MALE,Stoke-on-Trent,18,4
49509489,2024-01-15,Samsung Galaxy Tab S9,899.99,1,TABLETS,Samsung,qiwi,No,Aaron Bush,MALE,Sheffield,18,5
38988806,2024-01-16,Shure AONIC 50,299.0,1,HEADPHONES,Shure,paypal,No,Cynthia Calhoun,FEMALE,Sheffield,24,4
13025106,2024-01-16,Brother MFC-J4335DW,179.0,1,PRINTERS,Brother,google_pay,No,Julie Baker,FEMALE,London,35,4
13819422,2024-01-16,Xiaomi 14 Pro,699.0,1,PHONES,Xiaomi,card,No,Jonathan Howell,MALE,London,27,4
92515512,2024-01-17,Asus ROG Flow Z13,1699.99,1,TABLETS,Asus,paypal,No,Allison Buck,FEMALE,London,54,3
54852594,2024-01-17,Samsung Galaxy Tab S9,899.99,1,TABLETS,Samsung,card,No,Alice Gallagher,FEMALE,London,32,5
87327137,2024-01-19,HP Pavilion 15,749.0,1,COMPUTERS,HP,card,No,Melanie Santos,FEMALE,London,39,4
95061979,2024-01-20,Nothing Phone (2),599.0,1,PHONES,Nothing,card,No,Bernard Fields,MALE,Southampton,46,4
77220691,2024-01-21,Bose QuietComfort 45,329.99,1,HEADPHONES,Bose,cash,No,Melissa Farmer,FEMALE,London,51,4
96355992,2024-01-21,Anker Soundcore Life Q35,129.99,1,HEADPHONES,Anker,google_pay,No,Justin Diaz,MALE,London,50,5
18659955,2024-01-21,Apple AirPods Pro (2nd gen),249.0,1,HEADPHONES,Apple,apple_pay,No,Madison Sullivan,FEMALE,London,24,4
53824806,2024-01-21,Xiaomi 14 Pro,699.0,1,PHONES,Xiaomi,google_pay,No,Ashley Sanders,FEMALE,Liverpool,35,4
23629653,2024-01-22,Huawei MatePad Pro,649.0,1,TABLETS,Huawei,apple_pay,No,Sean Spencer,MALE,London,33,3
81038879,2024-01-23,"Apple iPad Pro 12.9""",1099.0,1,TABLETS,Apple,apple_pay,No,Danielle Wilkins,FEMALE,London,42,5
51684365,2024-01-23,Amazon Fire HD 10,149.99,1,TABLETS,Amazon,paypal,No,Jennifer Richardson,FEMALE,London,18,5
53702593,2024-01-23,Asus ROG Flow Z13,1699.99,1,TABLETS,Asus,paypal,No,Thomas Bryant,MALE,London,26,3
43606269,2024-01-24,Epson EcoTank ET-2850,281.06,1,PRINTERS,Epson,cash,Yes,Timothy Thompson,MALE,Edinburgh,34,4
51231316,2024-01-24,Samsung Galaxy Tab A8,229.99,2,TABLETS,Samsung,card,No,Sandra Martin,FEMALE,London,36,4
01947342,2024-01-25,Microsoft Surface Laptop 5,1099.99,2,COMPUTERS,Microsoft,paypal,No,Susan Hutchinson,FEMALE,Bristol,57,4
