order_id,order_date,product_name,product_price,quantity,product_category,manufacturer,payment_method,discount_applied,customer_name,customer_gender,customer_city,customer_age,review_score
86307956,2024-01-01,Shure AONIC 50,299.0,1,HEADPHONES,Shure,apple_pay,No,Sarah Anderson,FEMALE,Birmingham,33,4
64446646,2024-01-01,Amazon Fire HD 10,149.99,1,TABLETS,Amazon,google_pay,No,Derek Griffith,MALE,Birmingham,44,5
80931454,2024-01-04,Sony Xperia 1 V,1099.0,1,PHONES,Sony,google_pay,No,Roberto Cook,MALE,Liverpool,18,5
85623064,2024-01-04,Sony Xperia 1 V,1099.0,1,PHONES,Sony,google_pay,No,Miss Nancy Franco,FEMALE,Glasgow,41,3
50420544,2024-01-05,Motorola Edge 40 Pro,699.99,1,PHONES,Motorola,google_pay,No,Michael Fox,MALE,London,32,4
83076466,2024-01-06,Brother MFC-J4335DW,179.0,1,PRINTERS,Brother,apple_pay,No,Yvonne Rogers,FEMALE,Liverpool,42,4
35400905,2024-01-06,Brother HL-L2350DW,149.99,1,PRINTERS,Brother,paypal,No,Sarah Williams,FEMALE,Birmingham,18,4
34425671,2024-01-10,MSI Katana GF66,899.99,1,COMPUTERS,MSI,card,No,Latoya Fisher,FEMALE,Liverpool,18,5
73928423,2024-01-10,Apple iPad Air,599.0,1,TABLETS,Apple,qiwi,No,Stephanie Holmes,FEMALE,Glasgow,32,5
35549109,2024-01-10,Sony Xperia 1 V,1099.0,1,PHONES,Sony,google_pay,No,Savannah Weeks,FEMALE,London,18,4
71795270,2024-01-10,Huawei MatePad Pro,649.0,1,TABLETS,Huawei,paypal,No,Jesse Ramsey,MALE,Birmingham,43,4
18187588,2024-01-13,Google Pixel 8 Pro,899.1,1,PHONES,Google,card,Yes,Charlotte Weber,FEMALE,London,30,4
37539313,2024-01-13,Apple iPhone SE (2022),429.0,1,PHONES,Apple,google_pay,No,Chelsea Myers,FEMALE,Plymouth,48,4
44914493,2024-01-14,HP Spectre x360,1199.99,1,COMPUTERS,HP,card,No,Julia Howell,FEMALE,Liverpool,19,4
01688764,2024-01-14,Microsoft Surface Laptop 5,1099.99,2,COMPUTERS,Microsoft,paypal,No,Stephanie Aguilar,FEMALE,Edinburgh,45,5
79960458,2024-01-16,Samsung Galaxy S24 Ultra,1079.99,1,PHONES,Samsung,google_pay,Yes,Mr. Robert Reed,MALE,Edinburgh,30,4
02900247,2024-01-16,Xiaomi Pad 6,399.99,1,TABLETS,Xiaomi,card,No,Mrs. Donna Meyer,FEMALE,London,48,3
33412085,2024-01-17,Samsung Galaxy Buds2 Pro,206.99,1,HEADPHONES,Samsung,google_pay,Yes,Patricia Reynolds,FEMALE,Reading,35,5
75520434,2024-01-18,Epson WorkForce WF-2930,149.0,1,PRINTERS,Epson,cash,No,Kelly White,FEMALE,Aberdeen,34,5
39048967,2024-01-18,Amazon Fire HD 10,149.99,1,TABLETS,Amazon,google_pay,No,Tiffany Jones MD,FEMALE,Coventry,18,5
35328896,2024-01-20,Microsoft Surface Pro 9,999.99,1,TABLETS,Microsoft,qiwi,No,Dana Dunlap,FEMALE,Liverpool,49,3
71423234,2024-01-20,Brother MFC-J4335DW,179.0,1,PRINTERS,Brother,paypal,No,Sara Cox,FEMALE,Aberdeen,32,5
50949748,2024-01-21,Huawei MatePad Pro,649.0,1,TABLETS,Huawei,card,No,Carlos Ray,MALE,Birmingham,29,5
12723980,2024-01-21,Apple iPhone SE (2022),429.0,1,PHONES,Apple,cash,No,Barbara Williams,FEMALE,London,18,3
04693567,2024-01-22,Sennheiser Momentum 4,349.99,1,HEADPHONES,Sennheiser,card,No,Jennifer Leach,FEMALE,Edinburgh,18,3
10643358,2024-01-22,Google Pixel 8 Pro,999.0,1,PHONES,Google,card,No,Yvette Adkins,FEMALE,Leeds,19,3
