order_id,order_date,product_name,product_price,quantity,product_category,manufacturer,payment_method,discount_applied,customer_name,customer_gender,customer_city,customer_age,review_score
09488984,2024-01-01,Xiaomi 14 Pro,601.14,1,PHONES,Xiaomi,qiwi,Yes,Cindy Horton,FEMALE,London,18,5
03162705,2024-01-01,Apple iPad Air,599.0,1,TABLETS,Apple,apple_pay,No,Melissa Hood,FEMALE,Edinburgh,48,5
21330254,2024-01-02,Samsung Galaxy A54,449.0,1,PHONES,Samsung,paypal,No,Terri Maxwell,FEMALE,Glasgow,31,4
37917562,2024-01-02,Apple iPhone 15 Pro,859.14,1,PHONES,Apple,paypal,Yes,Joseph Bowers,MALE,London,54,5
48065672,2024-01-02,MSI Katana GF66,899.99,1,COMPUTERS,MSI,card,No,Jorge Ramirez,MALE,Nottingham,34,4
05599301,2024-01-04,MSI Katana GF66,899.99,1,COMPUTERS,MSI,google_pay,No,Alicia Gray,FEMALE,Nottingham,18,3
01662764,2024-01-05,Beats Studio Pro,349.0,1,HEADPHONES,Beats,google_pay,No,Keith Edwards,MALE,Edinburgh,32,5
05871865,2024-01-06,Sennheiser Momentum 4,349.99,1,HEADPHONES,Sennheiser,google_pay,No,Elizabeth Holmes,FEMALE,London,44,3
15282651,2024-01-07,Jabra Elite 7 Pro,199.0,1,HEADPHONES,Jabra,google_pay,No,Zachary Evans,MALE,London,34,4
90752377,2024-01-07,Samsung Galaxy A54,449.0,1,PHONES,Samsung,google_pay,No,Sandra Jackson,FEMALE,London,55,4
38488658,2024-01-10,Brother HL-L2350DW,149.99,1,PRINTERS,Brother,card,No,Kyle Lowe,MALE,London,29,5
75272081,2024-01-10,Samsung Galaxy Buds2 Pro,229.99,2,HEADPHONES,Samsung,card,No,Craig Craig,MALE,London,48,5
73668947,2024-01-10,Logitech G Pro X Wireless,229.0,1,HEADPHONES,Logitech,card,No,Sarah Williamson,FEMALE,London,23,5
87348408,2024-01-10,Samsung Galaxy A54,449.0,1,PHONES,Samsung,qiwi,No,Michael Holmes,MALE,Coventry,37,2
32961416,2024-01-12,Samsung Galaxy A54,449.0,1,PHONES,Samsung,google_pay,No,Daniel Brown,MALE,London,27,4
60497963,2024-01-12,Google Pixel 8 Pro,999.0,1,PHONES,Google,cash,No,Kenneth Smith,MALE,London,38,4
85721982,2024-01-12,"Apple iPad Pro 12.9""",1099.0,1,TABLETS,Apple,qiwi,No,Jaime Mendez,FEMALE,Bristol,18,5
75908751,2024-01-12,Google Pixel 8 Pro,999.0,1,PHONES,Google,paypal,No,Steven Richard,MALE,Bristol,30,4
80384878,2024-01-13,Sony WH-1000XM5,343.99,1,HEADPHONES,Sony,paypal,Yes,Sara Duke,FEMALE,London,34,4
99348434,2024-01-16,Asus ROG Zephyrus G14,1599.0,1,COMPUTERS,Asus,google_pay,No,Emily Hernandez,FEMALE,London,21,5
94066913,2024-01-16,Beats Studio Pro,300.14,1,HEADPHONES,Beats,paypal,Yes,Denise Marshall,FEMALE,Glasgow,18,5
17700238,2024-01-16,Apple iPhone 15 Pro,999.0,1,PHONES,Apple,qiwi,No,Ms. Angela Wise,FEMALE,London,44,4
10713273,2024-01-17,Motorola Edge 40 Pro,699.99,1,PHONES,Motorola,cash,No,Alison Browning,FEMALE,London,32,5
83399503,2024-01-18,Anker Soundcore Life Q35,129.99,1,HEADPHONES,Anker,google_pay,No,Jessica Knight,FEMALE,Kingston upon Hull,47,4
26421315,2024-01-19,Brother HL-L2350DW,149.99,1,PRINTERS,Brother,qiwi,No,Lauren Ray,FEMALE,London,29,3
15644213,2024-01-20,Apple iPhone 15 Pro,999.0,1,PHONES,Apple,paypal,No,Dylan Watkins,MALE,Coventry,29,5
40765617,2024-01-22,Lenovo Tab P12 Pro,699.0,1,TABLETS,Lenovo,card,No,Sara Wilson,FEMALE,London,18,4
77314758,2024-01-22,Google Pixel 8 Pro,999.0,1,PHONES,Google,paypal,No,Kristen Morse,FEMALE,London,41,5
98789559,2024-01-22,Lenovo Tab P12 Pro,699.0,1,TABLETS,Lenovo,paypal,No,Lynn Hodges,FEMALE,Glasgow,30,4
31560146,2024-01-23,Apple iPhone 15 Pro,859.14,1,PHONES,Apple,paypal,Yes,Jamie Estrada,FEMALE,London,27,3
48464543,2024-01-23,Logitech G Pro X Wireless,229.0,1,HEADPHONES,Logitech,google_pay,No,Stephen Powell,MALE,Edinburgh,31,5
85359123,2024-01-23,Canon imageCLASS MF264dw,189.99,1,PRINTERS,Canon,google_pay,No,Wayne Richardson,MALE,Plymouth,28,3
33694979,2024-01-24,Samsung Galaxy Tab S9,899.99,1,TABLETS,Samsung,google_pay,No,Henry Brown,MALE,Kingston upon Hull,35,4
60672605,2024-01-25,Microsoft Surface Laptop 5,1099.99,1,COMPUTERS,Microsoft,card,No,Erin Blackwell,FEMALE,London,24,5
23749320,2024-01-26,Canon imageCLASS MF264dw,163.39,1,PRINTERS,Canon,paypal,Yes,Christina Walker,FEMALE,London,55,5
89256077,2024-01-26,HP Spectre x360,1199.99,1,COMPUTERS,HP,google_pay,No,Dr. Karen Lewis,FEMALE,London,37,4
83718021,2024-01-27,OnePlus 12,687.99,1,PHONES,OnePlus,card,Yes,Robert Payne,MALE,London,34,4
94584363,2024-01-27,Acer Swift 3,699.0,1,COMPUTERS,Acer,qiwi,No,Lisa Wilkerson,FEMALE,London,42,5
89365137,2024-01-27,Epson EcoTank ET-2850,299.0,1,PRINTERS,Epson,apple_pay,No,Megan Turner,FEMALE,Bristol,57,4
09658141,2024-01-29,OnePlus 12,799.99,1,PHONES,OnePlus,card,No,Katherine Obrien,FEMALE,London,53,4
31403467,2024-01-30,Xiaomi 14 Pro,699.0,1,PHONES,Xiaomi,google_pay,No,Carol Cruz,FEMALE,London,19,3
83894114,2024-01-30,Logitech G Pro X Wireless,229.0,1,HEADPHONES,Logitech,qiwi,No,Karen Ortega,FEMALE,London,40,3
44561987,2024-01-31,"Apple MacBook Pro 14""",1999.99,1,COMPUTERS,Apple,paypal,No,Steven Cobb,MALE,London,34,5
49981667,2024-02-01,Motorola Edge 40 Pro,699.99,1,PHONES,Motorola,paypal,No,Crystal Fisher,FEMALE,Nottingham,20,5
18154160,2024-02-01,Beats Studio Pro,349.0,1,HEADPHONES,Beats,google_pay,No,David Harvey,MALE,London,30,4
02545622,2024-02-02,"Apple MacBook Pro 14""",1999.99,1,COMPUTERS,Apple,card,No,Ashley Kelly,FEMALE,London,42,3
47242838,2024-02-02,HP LaserJet Pro M404dn,229.99,1,PRINTERS,HP,apple_pay,No,Douglas Hicks,MALE,Bristol,38,5
72275993,2024-02-03,"Apple iMac 24""",1117.14,1,COMPUTERS,Apple,card,Yes,Chelsea Vargas,FEMALE,London,44,4
54694699,2024-02-05,Xiaomi Pad 6,399.99,1,TABLETS,Xiaomi,card,No,Michael Palmer,MALE,Coventry,25,3
23801370,2024-02-05,Sony WH-1000XM5,343.99,1,HEADPHONES,Sony,paypal,Yes,Jason Brown,MALE,Bristol,39,2
48298100,2024-02-05,Amazon Fire HD 10,149.99,1,TABLETS,Amazon,card,No,Sandra Galloway,FEMALE,London,39,5
08780355,2024-02-05,Sennheiser Momentum 4,349.99,1,HEADPHONES,Sennheiser,google_pay,No,Kimberly Harrell,FEMALE,Bristol,33,3
71843230,2024-02-06,Asus ROG Flow Z13,1699.99,1,TABLETS,Asus,qiwi,No,Desiree Eaton,FEMALE,Nottingham,19,5
58594285,2024-02-06,"Apple iMac 24""",1299.0,1,COMPUTERS,Apple,google_pay,No,Madeline Parker,FEMALE,London,39,3
28381075,2024-02-06,Jabra Elite 7 Pro,199.0,1,HEADPHONES,Jabra,qiwi,No,Savannah Neal,FEMALE,London,40,3
07990311,2024-02-06,Dell XPS 13,1299.99,1,COMPUTERS,Dell,google_pay,No,Carl Cannon,MALE,Glasgow,46,4
67162857,2024-02-06,"Apple iPad Pro 12.9""",1099.0,1,TABLETS,Apple,card,No,Julie Pugh,FEMALE,London,23,5
19505244,2024-02-07,Xiaomi Pad 6,399.99,2,TABLETS,Xiaomi,apple_pay,No,Allison Andrews,FEMALE,London,40,4
38277672,2024-02-07,Kyocera ECOSYS P2235dw,199.0,1,PRINTERS,Kyocera,google_pay,No,Clifford Mcdonald,MALE,London,18,4
19756554,2024-02-07,Motorola Edge 40 Pro,699.99,1,PHONES,Motorola,paypal,No,Elizabeth Jenkins,FEMALE,Edinburgh,18,4
12949205,2024-02-07,Lexmark MB3442adw,325.94,1,PRINTERS,Lexmark,qiwi,Yes,Paul Nelson,MALE,Glasgow,40,4
47251540,2024-02-08,Asus ROG Flow Z13,1699.99,1,TABLETS,Asus,cash,No,William Joseph,MALE,London,55,4
59269601,2024-02-09,Nothing Phone (2),599.0,1,PHONES,Nothing,google_pay,No,Ashley Moore,FEMALE,London,18,4
89484296,2024-02-10,Sennheiser Momentum 4,349.99,1,HEADPHONES,Sennheiser,paypal,No,John Lowe,MALE,London,18,4
89513569,2024-02-10,Bose QuietComfort 45,329.99,1,HEADPHONES,Bose,card,No,Dr. Jesse Dunn III,MALE,Nottingham,55,5
63685701,2024-02-11,Google Pixel 8 Pro,859.14,1,PHONES,Google,qiwi,Yes,Megan Brewer,FEMALE,Glasgow,58,5
09981775,2024-02-11,Sony Xperia 1 V,1099.0,1,PHONES,Sony,qiwi,No,Bryan Miller,MALE,London,44,4
90939730,2024-02-11,Sony Xperia 1 V,1099.0,1,PHONES,Sony,qiwi,No,Robert Warner,MALE,London,41,5
33417530,2024-02-12,Samsung Galaxy A54,449.0,1,PHONES,Samsung,cash,No,Barbara Brennan,FEMALE,London,18,4
31314237,2024-02-13,Acer Swift 3,699.0,1,COMPUTERS,Acer,cash,No,David Berry,MALE,London,32,4
24402033,2024-02-13,Apple iPhone 15 Pro,999.0,1,PHONES,Apple,google_pay,No,Mackenzie Harmon,FEMALE,Bristol,32,3
89069073,2024-02-14,Sennheiser Momentum 4,300.99,1,HEADPHONES,Sennheiser,card,Yes,Joshua Anderson,MALE,London,18,3
76011313,2024-02-16,Nothing Phone (2),599.0,1,PHONES,Nothing,apple_pay,No,Cheryl Davis,FEMALE,Glasgow,46,4
53236807,2024-02-16,"Apple iMac 24""",1299.0,1,COMPUTERS,Apple,cash,No,Michelle Hill,FEMALE,Bristol,29,5
17386968,2024-02-17,Asus ROG Flow Z13,1699.99,1,TABLETS,Asus,google_pay,No,Stephanie Davis,FEMALE,London,62,4
13514464,2024-02-17,"Apple iPad Pro 12.9""",1099.0,1,TABLETS,Apple,cash,No,Timothy Le,MALE,Bristol,45,4
33448497,2024-02-18,Xiaomi 14 Pro,699.0,1,PHONES,Xiaomi,card,No,Phillip Kent,MALE,Kingston upon Hull,19,4
74984695,2024-02-18,"Apple MacBook Pro 14""",1999.99,1,COMPUTERS,Apple,google_pay,No,Ashley Guzman,FEMALE,London,39,4
59807292,2024-02-19,Brother MFC-J4335DW,179.0,1,PRINTERS,Brother,google_pay,No,Robin Romero,FEMALE,London,26,4
17924030,2024-02-19,HP LaserJet Pro M404dn,229.99,1,PRINTERS,HP,google_pay,No,David Martin,MALE,London,51,4
26092911,2024-02-20,OnePlus 12,687.99,1,PHONES,OnePlus,card,Yes,Marco Brooks,MALE,London,38,4
18121407,2024-02-20,Lenovo Tab P12 Pro,699.0,1,TABLETS,Lenovo,card,No,Suzanne Daniels,FEMALE,London,29,5
90452307,2024-02-21,Canon PIXMA TR8620a,199.99,1,PRINTERS,Canon,google_pay,No,Kelli Foster,FEMALE,Bristol,50,4
42148982,2024-02-22,Samsung Galaxy Tab A8,229.99,1,TABLETS,Samsung,card,No,David Campos,MALE,London,31,4
27472767,2024-02-23,"Apple iPad Pro 12.9""",1099.0,1,TABLETS,Apple,apple_pay,No,Tiffany Jordan,FEMALE,Edinburgh,63,4
88775470,2024-02-24,Sennheiser Momentum 4,349.99,1,HEADPHONES,Sennheiser,google_pay,No,Tammy Harrington,FEMALE,Edinburgh,29,5
93750707,2024-02-24,Brother MFC-J4335DW,179.0,1,PRINTERS,Brother,google_pay,No,Jane White,FEMALE,London,18,4
97997054,2024-02-25,Motorola Edge 40 Pro,699.99,1,PHONES,Motorola,google_pay,No,Crystal Hebert,FEMALE,London,46,4
00255080,2024-02-26,HP Spectre x360,1199.99,1,COMPUTERS,HP,cash,No,Brittney Shields,FEMALE,Kingston upon Hull,42,4
45995040,2024-02-26,Dell XPS 13,1299.99,1,COMPUTERS,Dell,google_pay,No,Trevor Jackson,MALE,Edinburgh,40,4
00115803,2024-02-26,Samsung Galaxy Tab A8,229.99,1,TABLETS,Samsung,google_pay,No,Jordan Lee,MALE,London,28,5
00182645,2024-02-26,"Apple iPad Pro 12.9""",945.14,1,TABLETS,Apple,card,Yes,Abigail Lam,FEMALE,London,62,5
85498426,2024-02-27,Bose QuietComfort 45,329.99,1,HEADPHONES,Bose,qiwi,No,Kenneth Mcintosh,MALE,London,28,3
03247716,2024-02-28,Microsoft Surface Laptop 5,1099.99,1,COMPUTERS,Microsoft,google_pay,No,Teresa Bolton,FEMALE,London,29,5
54111844,2024-03-01,Brother HL-L2350DW,149.99,1,PRINTERS,Brother,paypal,No,Chelsea Hoffman,FEMALE,Bristol,18,3
55153508,2024-03-01,Kyocera ECOSYS P2235dw,199.0,1,PRINTERS,Kyocera,card,No,Lauren Johnson,FEMALE,London,33,3
